,customer_id,address,postcode,state,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,owns_car,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,name,year,month,day,day_of_week,quarter,age,total_profit,age_range,adresses,lat,long
10,1,060 Morning Avenue,2016,New South Wales,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Yes,9785,72,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,Laraine Medendorp,2017,1,5,Thursday,2017Q1,69,90.09999999999997,over 60,2016 New South Wales Australia,-33.892215,151.205873
11,2,6 Meadow Vale Court,2153,New South Wales,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Yes,16411,26,2017-08-24,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,Eli Bockman,2017,8,24,Thursday,2017Q3,42,1230.3000000000002,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
12,2,6 Meadow Vale Court,2153,New South Wales,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Yes,6743,85,2017-06-11,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,Eli Bockman,2017,6,11,Sunday,2017Q2,42,547.28,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
13,2,6 Meadow Vale Court,2153,New South Wales,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Yes,2261,1,2017-05-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,Eli Bockman,2017,5,4,Thursday,2017Q2,42,448.67999999999995,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
40,9,97736 7th Trail,2023,New South Wales,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Yes,4233,36,2017-10-13,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,Mala Lind,2017,10,13,Friday,2017Q4,50,437.46,50-59,2023 New South Wales Australia,-33.8826955,151.2539627
41,9,97736 7th Trail,2023,New South Wales,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Yes,10662,38,2017-09-30,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,Mala Lind,2017,9,30,Saturday,2017Q3,50,751.02,50-59,2023 New South Wales Australia,-33.8826955,151.2539627
42,9,97736 7th Trail,2023,New South Wales,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Yes,9405,6,2017-08-20,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,Mala Lind,2017,8,20,Sunday,2017Q3,50,91.15,50-59,2023 New South Wales Australia,-33.8826955,151.2539627
43,9,97736 7th Trail,2023,New South Wales,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Yes,2501,59,2017-05-10,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,Mala Lind,2017,5,10,Wednesday,2017Q2,50,327.9799999999999,50-59,2023 New South Wales Australia,-33.8826955,151.2539627
44,9,97736 7th Trail,2023,New South Wales,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Yes,2979,85,2017-03-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,Mala Lind,2017,3,6,Monday,2017Q1,50,547.28,50-59,2023 New South Wales Australia,-33.8826955,151.2539627
45,9,97736 7th Trail,2023,New South Wales,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Yes,8591,69,2017-02-04,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,Mala Lind,2017,2,4,Saturday,2017Q1,50,198.22000000000003,50-59,2023 New South Wales Australia,-33.8826955,151.2539627
52,12,44339 Golden Leaf Alley,4557,Queensland,Sawyere,Flattman,Male,58,1994-07-21,Engineer,Manufacturing,No,14250,34,2017-10-24,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,Sawyere Flattman,2017,10,24,Tuesday,2017Q4,28,309.80999999999995,20-29,4557 Queensland Australia,-26.6990471,153.1010891
53,12,44339 Golden Leaf Alley,4557,Queensland,Sawyere,Flattman,Male,58,1994-07-21,Engineer,Manufacturing,No,19219,28,2017-09-16,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,Sawyere Flattman,2017,9,16,Saturday,2017Q3,28,133.7800000000002,20-29,4557 Queensland Australia,-26.6990471,153.1010891
54,12,44339 Golden Leaf Alley,4557,Queensland,Sawyere,Flattman,Male,58,1994-07-21,Engineer,Manufacturing,No,6705,72,2017-09-04,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,Sawyere Flattman,2017,9,4,Monday,2017Q3,28,90.09999999999997,20-29,4557 Queensland Australia,-26.6990471,153.1010891
55,12,44339 Golden Leaf Alley,4557,Queensland,Sawyere,Flattman,Male,58,1994-07-21,Engineer,Manufacturing,No,5985,39,2017-08-21,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,Sawyere Flattman,2017,8,21,Monday,2017Q3,28,1230.27,20-29,4557 Queensland Australia,-26.6990471,153.1010891
56,12,44339 Golden Leaf Alley,4557,Queensland,Sawyere,Flattman,Male,58,1994-07-21,Engineer,Manufacturing,No,13818,44,2017-08-21,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,Sawyere Flattman,2017,8,21,Monday,2017Q3,28,1660.88,20-29,4557 Queensland Australia,-26.6990471,153.1010891
57,12,44339 Golden Leaf Alley,4557,Queensland,Sawyere,Flattman,Male,58,1994-07-21,Engineer,Manufacturing,No,12242,91,2017-07-23,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,Sawyere Flattman,2017,7,23,Sunday,2017Q3,28,25.08999999999999,20-29,4557 Queensland Australia,-26.6990471,153.1010891
58,12,44339 Golden Leaf Alley,4557,Queensland,Sawyere,Flattman,Male,58,1994-07-21,Engineer,Manufacturing,No,6741,72,2017-02-12,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,Sawyere Flattman,2017,2,12,Sunday,2017Q1,28,90.09999999999997,20-29,4557 Queensland Australia,-26.6990471,153.1010891
59,13,2 Sutherland Street,3799,Victoria,Gabriele,Norcross,Male,38,1955-02-15,Developer,Financial Services,Yes,17639,0,2017-12-03,1.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,Gabriele Norcross,2017,12,3,Sunday,2017Q4,68,198.29000000000002,over 60,3799 Victoria Australia,-37.6990844,145.8023118
60,13,2 Sutherland Street,3799,Victoria,Gabriele,Norcross,Male,38,1955-02-15,Developer,Financial Services,Yes,13486,17,2017-11-17,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,Gabriele Norcross,2017,11,17,Friday,2017Q4,68,1305.25,over 60,3799 Victoria Australia,-37.6990844,145.8023118
61,13,2 Sutherland Street,3799,Victoria,Gabriele,Norcross,Male,38,1955-02-15,Developer,Financial Services,Yes,11839,9,2017-08-02,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,Gabriele Norcross,2017,8,2,Wednesday,2017Q3,68,133.7800000000002,over 60,3799 Victoria Australia,-37.6990844,145.8023118
62,13,2 Sutherland Street,3799,Victoria,Gabriele,Norcross,Male,38,1955-02-15,Developer,Financial Services,Yes,19988,0,2017-04-05,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Gabriele Norcross,2017,4,5,Wednesday,2017Q2,68,167.20999999999998,over 60,3799 Victoria Australia,-37.6990844,145.8023118
63,13,2 Sutherland Street,3799,Victoria,Gabriele,Norcross,Male,38,1955-02-15,Developer,Financial Services,Yes,15101,49,2017-03-01,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,Gabriele Norcross,2017,3,1,Wednesday,2017Q1,68,327.9799999999999,over 60,3799 Victoria Australia,-37.6990844,145.8023118
64,13,2 Sutherland Street,3799,Victoria,Gabriele,Norcross,Male,38,1955-02-15,Developer,Financial Services,Yes,8905,66,2017-02-16,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,Gabriele Norcross,2017,2,16,Thursday,2017Q1,68,574.6200000000001,over 60,3799 Victoria Australia,-37.6990844,145.8023118
65,13,2 Sutherland Street,3799,Victoria,Gabriele,Norcross,Male,38,1955-02-15,Developer,Financial Services,Yes,17763,92,2017-01-06,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,Gabriele Norcross,2017,1,6,Friday,2017Q1,68,1630.25,over 60,3799 Victoria Australia,-37.6990844,145.8023118
66,14,9 Mcbride Trail,2760,New South Wales,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,No,6044,56,2017-11-13,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,Rayshell Kitteman,2017,11,13,Monday,2017Q4,40,45.96000000000001,40-49,2760 New South Wales Australia,-33.7520107,150.7737333
67,14,9 Mcbride Trail,2760,New South Wales,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,No,19381,23,2017-10-27,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,Rayshell Kitteman,2017,10,27,Friday,2017Q4,40,75.75,40-49,2760 New South Wales Australia,-33.7520107,150.7737333
69,14,9 Mcbride Trail,2760,New South Wales,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,No,16253,68,2017-05-11,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,Rayshell Kitteman,2017,5,11,Thursday,2017Q2,40,1592.19,40-49,2760 New South Wales Australia,-33.7520107,150.7737333
70,15,9861 New Castle Avenue,2428,New South Wales,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,No,17963,81,2017-11-25,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,Erroll Radage,2017,11,25,Saturday,2017Q4,22,64.50999999999999,20-29,2428 New South Wales Australia,-32.2735633,152.4738975
71,15,9861 New Castle Avenue,2428,New South Wales,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,No,10707,41,2017-09-20,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,Erroll Radage,2017,9,20,Wednesday,2017Q3,22,104.24000000000001,20-29,2428 New South Wales Australia,-32.2735633,152.4738975
72,15,9861 New Castle Avenue,2428,New South Wales,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,No,7896,26,2017-07-30,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,Erroll Radage,2017,7,30,Sunday,2017Q3,22,1230.3000000000002,20-29,2428 New South Wales Australia,-32.2735633,152.4738975
73,15,9861 New Castle Avenue,2428,New South Wales,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,No,11788,33,2017-06-07,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,Erroll Radage,2017,6,7,Wednesday,2017Q2,22,144.26,20-29,2428 New South Wales Australia,-32.2735633,152.4738975
74,15,9861 New Castle Avenue,2428,New South Wales,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,No,434,67,2017-03-10,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Erroll Radage,2017,3,10,Friday,2017Q1,22,167.20999999999998,20-29,2428 New South Wales Australia,-32.2735633,152.4738975
75,15,9861 New Castle Avenue,2428,New South Wales,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,No,17528,2,2017-01-20,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,Erroll Radage,2017,1,20,Friday,2017Q1,22,17.869999999999997,20-29,2428 New South Wales Australia,-32.2735633,152.4738975
94,19,59 Spaight Circle,2233,New South Wales,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,No,14850,87,2017-03-25,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,Sorcha Keyson,2017,3,25,Saturday,2017Q1,22,1592.19,20-29,2233 New South Wales Australia,-34.1193032,151.0704263
95,19,59 Spaight Circle,2233,New South Wales,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,No,4664,7,2017-01-31,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,Sorcha Keyson,2017,1,31,Tuesday,2017Q1,22,144.26,20-29,2233 New South Wales Australia,-34.1193032,151.0704263
96,20,032 Bartelt Crossing,2444,New South Wales,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,No,11330,94,2017-11-29,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,Basile Firth,2017,11,29,Wednesday,2017Q4,42,641.64,40-49,2444 New South Wales Australia,-31.392698,152.8499952
97,20,032 Bartelt Crossing,2444,New South Wales,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,No,14766,48,2017-11-20,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,Basile Firth,2017,11,20,Monday,2017Q4,42,812.44,40-49,2444 New South Wales Australia,-31.392698,152.8499952
98,20,032 Bartelt Crossing,2444,New South Wales,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,No,6657,4,2017-11-01,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,Basile Firth,2017,11,1,Wednesday,2017Q4,42,451.6500000000001,40-49,2444 New South Wales Australia,-31.392698,152.8499952
99,20,032 Bartelt Crossing,2444,New South Wales,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,No,18030,3,2017-06-11,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Basile Firth,2017,6,11,Sunday,2017Q2,42,1702.5499999999997,40-49,2444 New South Wales Australia,-31.392698,152.8499952
100,21,18 Jenna Center,2650,New South Wales,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Yes,8915,72,2017-12-24,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,Mile Cammocke,2017,12,24,Sunday,2017Q4,42,90.09999999999997,40-49,2650 New South Wales Australia,-35.283152,147.4174803
101,21,18 Jenna Center,2650,New South Wales,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Yes,19616,16,2017-11-17,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,Mile Cammocke,2017,11,17,Friday,2017Q4,42,182.81000000000017,40-49,2650 New South Wales Australia,-35.283152,147.4174803
102,21,18 Jenna Center,2650,New South Wales,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Yes,4778,3,2017-10-22,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Mile Cammocke,2017,10,22,Sunday,2017Q4,42,1702.5499999999997,40-49,2650 New South Wales Australia,-35.283152,147.4174803
103,21,18 Jenna Center,2650,New South Wales,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Yes,2932,37,2017-08-17,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Mile Cammocke,2017,8,17,Thursday,2017Q3,42,1544.6100000000001,40-49,2650 New South Wales Australia,-35.283152,147.4174803
104,21,18 Jenna Center,2650,New South Wales,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Yes,14115,25,2017-02-12,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,Mile Cammocke,2017,2,12,Sunday,2017Q1,42,709.34,40-49,2650 New South Wales Australia,-35.283152,147.4174803
105,24,3 Cordelia Plaza,2153,New South Wales,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Yes,1783,53,2017-12-13,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,Kim Skpsey,2017,12,13,Wednesday,2017Q4,45,693.76,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
106,24,3 Cordelia Plaza,2153,New South Wales,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Yes,9249,52,2017-11-13,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,Kim Skpsey,2017,11,13,Monday,2017Q4,45,450.77,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
107,24,3 Cordelia Plaza,2153,New South Wales,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Yes,19078,40,2017-10-31,0.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,Kim Skpsey,2017,10,31,Tuesday,2017Q4,45,583.2700000000001,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
108,24,3 Cordelia Plaza,2153,New South Wales,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Yes,14099,89,2017-10-12,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,Kim Skpsey,2017,10,12,Thursday,2017Q4,45,1305.25,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
109,24,3 Cordelia Plaza,2153,New South Wales,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Yes,19263,76,2017-10-05,1.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,Kim Skpsey,2017,10,5,Thursday,2017Q4,45,128.45999999999992,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
110,24,3 Cordelia Plaza,2153,New South Wales,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Yes,15874,11,2017-05-13,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,Kim Skpsey,2017,5,13,Saturday,2017Q2,45,509.97,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
112,24,3 Cordelia Plaza,2153,New South Wales,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Yes,15926,2,2017-01-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,Kim Skpsey,2017,1,25,Wednesday,2017Q1,45,17.869999999999997,40-49,2153 New South Wales Australia,-33.7613862,150.9889238
113,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,17826,78,2017-12-25,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,Geoff Assaf,2017,12,25,Monday,2017Q4,46,1055.82,40-49,4413 Queensland Australia,-26.3724452,150.7679216
114,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,19252,67,2017-12-01,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Geoff Assaf,2017,12,1,Friday,2017Q4,46,167.20999999999998,40-49,4413 Queensland Australia,-26.3724452,150.7679216
115,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,7196,18,2017-11-23,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,Geoff Assaf,2017,11,23,Thursday,2017Q4,46,143.82,40-49,4413 Queensland Australia,-26.3724452,150.7679216
116,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,9193,6,2017-09-17,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,Geoff Assaf,2017,9,17,Sunday,2017Q3,46,91.15,40-49,4413 Queensland Australia,-26.3724452,150.7679216
117,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,5770,41,2017-09-04,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,Geoff Assaf,2017,9,4,Monday,2017Q3,46,104.24000000000001,40-49,4413 Queensland Australia,-26.3724452,150.7679216
118,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,10224,59,2017-07-10,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,Geoff Assaf,2017,7,10,Monday,2017Q3,46,327.9799999999999,40-49,4413 Queensland Australia,-26.3724452,150.7679216
119,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,4309,39,2017-05-23,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,Geoff Assaf,2017,5,23,Tuesday,2017Q2,46,1230.27,40-49,4413 Queensland Australia,-26.3724452,150.7679216
120,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,6552,54,2017-04-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,Geoff Assaf,2017,4,15,Saturday,2017Q2,46,1279.3999999999999,40-49,4413 Queensland Australia,-26.3724452,150.7679216
121,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,15291,28,2017-04-01,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,Geoff Assaf,2017,4,1,Saturday,2017Q2,46,133.7800000000002,40-49,4413 Queensland Australia,-26.3724452,150.7679216
122,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,11765,6,2017-03-08,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,Geoff Assaf,2017,3,8,Wednesday,2017Q1,46,91.15,40-49,4413 Queensland Australia,-26.3724452,150.7679216
123,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,2354,53,2017-03-04,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,Geoff Assaf,2017,3,4,Saturday,2017Q1,46,693.76,40-49,4413 Queensland Australia,-26.3724452,150.7679216
124,25,28 5th Center,4413,Queensland,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Yes,16026,22,2017-02-08,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,Geoff Assaf,2017,2,8,Wednesday,2017Q1,46,15.080000000000005,40-49,4413 Queensland Australia,-26.3724452,150.7679216
126,26,52 Carey Alley,4740,Queensland,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Yes,3749,96,2017-04-15,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,Trixi Ginnelly,2017,4,15,Saturday,2017Q2,45,129.01,40-49,4740 Queensland Australia,-21.1499948,149.1271385
127,26,52 Carey Alley,4740,Queensland,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Yes,7674,80,2017-04-02,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,Trixi Ginnelly,2017,4,2,Sunday,2017Q2,45,139.2299999999999,40-49,4740 Queensland Australia,-21.1499948,149.1271385
128,27,96 Texas Plaza,3218,Victoria,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Yes,11751,28,2017-08-09,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,Garvin Klees,2017,8,9,Wednesday,2017Q3,44,133.7800000000002,40-49,3218 Victoria Australia,-38.1180538,144.2047333
129,27,96 Texas Plaza,3218,Victoria,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Yes,5053,45,2017-07-25,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,Garvin Klees,2017,7,25,Tuesday,2017Q3,44,356.5,40-49,3218 Victoria Australia,-38.1180538,144.2047333
130,27,96 Texas Plaza,3218,Victoria,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Yes,13771,79,2017-07-23,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,Garvin Klees,2017,7,23,Sunday,2017Q3,44,737.5699999999999,40-49,3218 Victoria Australia,-38.1180538,144.2047333
131,27,96 Texas Plaza,3218,Victoria,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Yes,849,57,2017-07-18,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,Garvin Klees,2017,7,18,Tuesday,2017Q3,44,1630.25,40-49,3218 Victoria Australia,-38.1180538,144.2047333
132,27,96 Texas Plaza,3218,Victoria,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Yes,5970,15,2017-06-18,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,Garvin Klees,2017,6,18,Sunday,2017Q2,44,209.84000000000003,40-49,3218 Victoria Australia,-38.1180538,144.2047333
